Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~commended~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~hit~; Parte expl.: ~verb~; Nr. intrari: ~25~
Cuvant: ~clutch~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~all-round~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~excellent~; Parte expl.: ~adjectiv~; Nr. intrari: ~46~
Cuvant: ~play~; Parte expl.: ~substantiv~; Nr. intrari: ~60~
Cuvant: ~ball-hawking~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~defensive~; Parte expl.: ~adjectiv~; Nr. intrari: ~8~
Cuvant: ~expert~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~cited~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~performance~; Parte expl.: ~substantiv~; Nr. intrari: ~84~
Cuvant: ~Bradley~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~U.'s~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~nationally~; Parte expl.: ~adverb~; Nr. intrari: ~7~
Cuvant: ~televised~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~victory~; Parte expl.: ~substantiv~; Nr. intrari: ~38~
Cuvant: ~I've~; Parte expl.: ~pronume~; Nr. intrari: ~90~
Cuvant: ~recalled~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~told~; Parte expl.: ~verb~; Nr. intrari: ~205~
Cuvant: ~doubted~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~play~; Parte expl.: ~verb~; Nr. intrari: ~72~
Cuvant: ~lacking~; Parte expl.: ~verb~; Nr. intrari: ~14~
Cuvant: ~accepted~; Parte expl.: ~verb~; Nr. intrari: ~33~
Cuvant: ~basketball~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~skills~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~listed~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~boy's~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~faults~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~leave~; Parte expl.: ~verb~; Nr. intrari: ~126~
Cuvant: ~Mrs.~; Parte expl.: ~substantiv~; Nr. intrari: ~257~
Cuvant: ~admired~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~Gordon's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~persuade~; Parte expl.: ~verb~; Nr. intrari: ~8~
Cuvant: ~husband~; Parte expl.: ~substantiv~; Nr. intrari: ~77~
Cuvant: ~boy~; Parte expl.: ~substantiv~; Nr. intrari: ~167~
Cuvant: ~As~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~253~
Cuvant: ~silver~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~bowl~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~coach's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~wife~; Parte expl.: ~substantiv~; Nr. intrari: ~141~
Cuvant: ~talking~; Parte expl.: ~verb~; Nr. intrari: ~72~
Cuvant: ~letting~; Parte expl.: ~verb~; Nr. intrari: ~18~
Cuvant: ~Burnes~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Globe-Democrat~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~congratulated~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~efforts~; Parte expl.: ~substantiv~; Nr. intrari: ~73~
Cuvant: ~shape~; Parte expl.: ~substantiv~; Nr. intrari: ~48~
Cuvant: ~healed~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~time~; Parte expl.: ~substantiv~; Nr. intrari: ~957~
Cuvant: ~Within~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~17~
Cuvant: ~suffered~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~Louis's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~final~; Parte expl.: ~adjectiv~; Nr. intrari: ~88~
Cuvant: ~Kentucky~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~tournament~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~sitting~; Parte expl.: ~verb~; Nr. intrari: ~63~
Cuvant: ~Bill's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~clock~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~inscription~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~For~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~22~
Cuvant: ~Outstanding~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Contribution~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Billiken~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Basketball~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~1960-61~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Other~; Parte expl.: ~adverb~; Nr. intrari: ~41~
Cuvant: ~lettermen~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~compiled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~21-9~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~finished~; Parte expl.: ~verb~; Nr. intrari: ~22~
Cuvant: ~runner-up~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Invitation~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Tournament~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Art~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Hambric~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Donnell~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Reid~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dave~; Parte expl.: ~substantiv~; Nr. intrari: ~29~
Cuvant: ~Harris~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~Luechtefeld~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~George~; Parte expl.: ~substantiv~; Nr. intrari: ~88~
Cuvant: ~Latinovich~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~This~; Parte expl.: ~adjectiv~; Nr. intrari: ~687~
Cuvant: ~precedent~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~future~; Parte expl.: ~substantiv~; Nr. intrari: ~89~
Cuvant: ~By~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~108~
Cuvant: ~winning~; Parte expl.: ~verb~; Nr. intrari: ~18~
Cuvant: ~Notre~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dame~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~teams'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~courts~; Parte expl.: ~substantiv~; Nr. intrari: ~29~
Cuvant: ~court~; Parte expl.: ~substantiv~; Nr. intrari: ~64~
Cuvant: ~advantage~; Parte expl.: ~substantiv~; Nr. intrari: ~41~
Cuvant: ~overcome~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~super~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~baseball~; Parte expl.: ~substantiv~; Nr. intrari: ~46~
Cuvant: ~Scherer~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~pitched~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~no-hit~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~history~; Parte expl.: ~substantiv~; Nr. intrari: ~148~
Cuvant: ~Blue~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~White~; Parte expl.: ~adjectiv~; Nr. intrari: ~41~
Cuvant: ~Southeast~; Parte expl.: ~adjectiv~; Nr. intrari: ~9~
Cuvant: ~Missouri~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~State~; Parte expl.: ~substantiv~; Nr. intrari: ~189~
Cuvant: ~College~; Parte expl.: ~substantiv~; Nr. intrari: ~36~
Cuvant: ~5-1~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Crystal~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~City~; Parte expl.: ~substantiv~; Nr. intrari: ~90~
Cuvant: ~defeats~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~tie~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~bat~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~hits~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~trips~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~including~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~85~
Cuvant: ~double~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Len~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Boehmer~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~4-for-5~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~doubles~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Ritchie~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~triple~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~U.~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~scheduled~; Parte expl.: ~verb~; Nr. intrari: ~24~
Cuvant: ~Washington~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Ligget~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Field~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~busy~; Parte expl.: ~adjectiv~; Nr. intrari: ~44~
Cuvant: ~Bears~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~Teachers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~3:30~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~tomorrow~; Parte expl.: ~adverb~; Nr. intrari: ~35~
Cuvant: ~doubleheader~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Quincy~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Ill.~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Saturday~; Parte expl.: ~adverb~; Nr. intrari: ~42~
Cuvant: ~Happy~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~true~; Parte expl.: ~adjectiv~; Nr. intrari: ~115~
Cuvant: ~contented~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~cows~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~milk~; Parte expl.: ~substantiv~; Nr. intrari: ~22~
Cuvant: ~happy~; Parte expl.: ~adjectiv~; Nr. intrari: ~64~
Cuvant: ~produce~; Parte expl.: ~verb~; Nr. intrari: ~30~
Cuvant: ~base~; Parte expl.: ~substantiv~; Nr. intrari: ~44~
Cuvant: ~?~; Parte expl.: ~punctuatie~; Nr. intrari: ~3194~
Cuvant: ~talents~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~Mickey~; Parte expl.: ~substantiv~; Nr. intrari: ~26~
Cuvant: ~Mantle~; Parte expl.: ~substantiv~; Nr. intrari: ~46~
Cuvant: ~Willie~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~Mays~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~harder~; Parte expl.: ~adverb~; Nr. intrari: ~9~
Cuvant: ~careers~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~frank~; Parte expl.: ~adjectiv~; Nr. intrari: ~10~
Cuvant: ~reached~; Parte expl.: ~verb~; Nr. intrari: ~38~
Cuvant: ~expectations~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~And~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~583~
Cuvant: ~meant~; Parte expl.: ~verb~; Nr. intrari: ~20~
Cuvant: ~boost~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~knock~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~10-year~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~agree~; Parte expl.: ~verb~; Nr. intrari: ~26~
Cuvant: ~heights~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~Their~; Parte expl.: ~pronume~; Nr. intrari: ~63~
Cuvant: ~bull-necked~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~blond~; Parte expl.: ~adjectiv~; Nr. intrari: ~9~
Cuvant: ~switch-hitter~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sensational~; Parte expl.: ~adjectiv~; Nr. intrari: ~5~
Cuvant: ~triple-crown~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~batted~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~led~; Parte expl.: ~verb~; Nr. intrari: ~54~
Cuvant: ~American~; Parte expl.: ~adjectiv~; Nr. intrari: ~73~
Cuvant: ~rbi's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Like~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~24~
Cuvant: ~Yankees'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~slugger~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~terror~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~seasons~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~considered~; Parte expl.: ~verb~; Nr. intrari: ~66~
Cuvant: ~ultimate~; Parte expl.: ~adjectiv~; Nr. intrari: ~30~
Cuvant: ~His~; Parte expl.: ~pronume~; Nr. intrari: ~338~
Cuvant: ~homers~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~belted~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~drove~; Parte expl.: ~verb~; Nr. intrari: ~42~
Cuvant: ~stole~; Parte expl.: ~verb~; Nr. intrari: ~8~
Cuvant: ~bases~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~Now~; Parte expl.: ~adverb~; Nr. intrari: ~182~
Cuvant: ~happier~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~managers~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~perfect~; Parte expl.: ~adjectiv~; Nr. intrari: ~37~
Cuvant: ~behaving~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~pass~; Parte expl.: ~verb~; Nr. intrari: ~34~
Cuvant: ~previous~; Parte expl.: ~adjectiv~; Nr. intrari: ~41~
Cuvant: ~peaks~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~Labor~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~relations~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Yes~; Parte expl.: ~adverb~; Nr. intrari: ~63~
Cuvant: ~professionals~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~paid~; Parte expl.: ~verb~; Nr. intrari: ~54~
Cuvant: ~care~; Parte expl.: ~verb~; Nr. intrari: ~48~
Cuvant: ~handled~; Parte expl.: ~verb~; Nr. intrari: ~16~
Cuvant: ~names~; Parte expl.: ~substantiv~; Nr. intrari: ~64~
Cuvant: ~spelled~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~correctly~; Parte expl.: ~adverb~; Nr. intrari: ~8~
Cuvant: ~fifteenth~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~month~; Parte expl.: ~substantiv~; Nr. intrari: ~86~
Cuvant: ~truth~; Parte expl.: ~substantiv~; Nr. intrari: ~66~
Cuvant: ~react~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~treatment~; Parte expl.: ~substantiv~; Nr. intrari: ~58~
Cuvant: ~matter~; Parte expl.: ~substantiv~; Nr. intrari: ~161~
Cuvant: ~rare~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~possessing~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~disposition~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~enabled~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~reserving~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~opinions~; Parte expl.: ~substantiv~; Nr. intrari: ~29~
Cuvant: ~effort~; Parte expl.: ~substantiv~; Nr. intrari: ~79~
Cuvant: ~apparent~; Parte expl.: ~adjectiv~; Nr. intrari: ~33~
Cuvant: ~resented~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~Casey~; Parte expl.: ~substantiv~; Nr. intrari: ~21~
Cuvant: ~Stengel's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~attempts~; Parte expl.: ~substantiv~; Nr. intrari: ~16~
Cuvant: ~push~; Parte expl.: ~verb~; Nr. intrari: ~16~
Cuvant: ~prod~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~perfection~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~veteran~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~manager~; Parte expl.: ~substantiv~; Nr. intrari: ~44~
Cuvant: ~thrilling~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~possibility~; Parte expl.: ~substantiv~; Nr. intrari: ~43~
Cuvant: ~possessive~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~Stengel~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~inherited~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~DiMaggio~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Rizzuto~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Class~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~C~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~majors~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Joplin~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~York~; Parte expl.: ~substantiv~; Nr. intrari: ~198~
Cuvant: ~speed~; Parte expl.: ~substantiv~; Nr. intrari: ~48~
Cuvant: ~power~; Parte expl.: ~substantiv~; Nr. intrari: ~193~
Cuvant: ~body~; Parte expl.: ~substantiv~; Nr. intrari: ~184~
Cuvant: ~beautiful~; Parte expl.: ~adjectiv~; Nr. intrari: ~74~
Cuvant: ~Ol'~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Case~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~No.~; Parte expl.: ~substantiv~; Nr. intrari: ~24~
Cuvant: ~homerun~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hitter~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~bunter~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~base-runner~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~outfielder~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~preached~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~days~; Parte expl.: ~substantiv~; Nr. intrari: ~239~
Cuvant: ~kid~; Parte expl.: ~substantiv~; Nr. intrari: ~34~
Cuvant: ~pop~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~bubble~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~gum~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~sow~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~oats~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Inheriting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~mature~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~sights~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~Broadway~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Ralph~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~Houk~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~quietly~; Parte expl.: ~adverb~; Nr. intrari: ~32~
Cuvant: ~bestowed~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~pun~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~intended~; Parte expl.: ~verb~; Nr. intrari: ~18~
Cuvant: ~mantle~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~authority~; Parte expl.: ~substantiv~; Nr. intrari: ~50~
Cuvant: ~Major~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~lead~; Parte expl.: ~verb~; Nr. intrari: ~50~
Cuvant: ~leadership~; Parte expl.: ~substantiv~; Nr. intrari: ~57~
Cuvant: ~opinion~; Parte expl.: ~substantiv~; Nr. intrari: ~52~
Cuvant: ~continues~; Parte expl.: ~verb~; Nr. intrari: ~22~
Cuvant: ~162-game~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~schedule~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~spread~; Parte expl.: ~verb~; Nr. intrari: ~13~
Cuvant: ~10-team~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~league~; Parte expl.: ~substantiv~; Nr. intrari: ~21~
Cuvant: ~inviting~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~target~; Parte expl.: ~substantiv~; Nr. intrari: ~27~
Cuvant: ~Los~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~Angeles'~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Wrigley~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Jr.~; Parte expl.: ~substantiv~; Nr. intrari: ~31~
Cuvant: ~break~; Parte expl.: ~verb~; Nr. intrari: ~42~
Cuvant: ~glamorous~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~books~; Parte expl.: ~substantiv~; Nr. intrari: ~61~
Cuvant: ~Babe~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Ruth's~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~Four~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Alvin~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Mays'~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~earlier~; Parte expl.: ~adverb~; Nr. intrari: ~34~
Cuvant: ~kids~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Commies~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Willie's~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~wonderful~; Parte expl.: ~adjectiv~; Nr. intrari: ~37~
Cuvant: ~walloping~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~served~; Parte expl.: ~verb~; Nr. intrari: ~26~
Cuvant: ~emphasize~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~Dark~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Next~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~3~
Cuvant: ~Leo~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Durocher~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~taught~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~grass-green~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~rookie~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~rushed~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~Polo~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Grounds~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Santa~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Barbara~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~recovery~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~movement~; Parte expl.: ~substantiv~; Nr. intrari: ~64~
Cuvant: ~gather~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~steady~; Parte expl.: ~adjectiv~; Nr. intrari: ~29~
Cuvant: ~momentum~; Parte expl.: ~substantiv~; Nr. intrari: ~10~
Cuvant: ~lift~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~economy~; Parte expl.: ~substantiv~; Nr. intrari: ~46~
Cuvant: ~historic~; Parte expl.: ~adjectiv~; Nr. intrari: ~10~
Cuvant: ~peak~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~autumn~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~Beryl~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~W.~; Parte expl.: ~substantiv~; Nr. intrari: ~41~
Cuvant: ~Sprinkel~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~economist~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Trust~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~&~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~63~
Cuvant: ~Savings~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Bank~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~Chicago~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~predicted~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~closing~; Parte expl.: ~verb~; Nr. intrari: ~19~
Cuvant: ~session~; Parte expl.: ~substantiv~; Nr. intrari: ~38~
Cuvant: ~Tuesday~; Parte expl.: ~adverb~; Nr. intrari: ~28~
Cuvant: ~Investment~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Bankers~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Assn.~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~California~; Parte expl.: ~substantiv~; Nr. intrari: ~26~
Cuvant: ~conference~; Parte expl.: ~substantiv~; Nr. intrari: ~36~
